query,intent,topic
Give an example of machine learning.,Example,AI
Show an example of machine learning.,Example,AI
How is machine learning used? Give an example.,Example,AI
I don't understand machine learning.,Doubt,AI
machine learning is confusing.,Doubt,AI
Please revise machine learning.,Revision,AI
Help me revise machine learning.,Revision,AI
What is deep learning?,Explanation,AI
Explain deep learning.,Explanation,AI
Can you explain deep learning?,Explanation,AI
Give an example of deep learning.,Example,AI
Show an example of deep learning.,Example,AI
How is deep learning used? Give an example.,Example,AI
I don't understand deep learning.,Doubt,AI
deep learning is confusing.,Doubt,AI
Please revise deep learning.,Revision,AI
Help me revise deep learning.,Revision,AI
What is neural networks?,Explanation,AI
Explain neural networks.,Explanation,AI
Can you explain neural networks?,Explanation,AI
Give an example of neural networks.,Example,AI
Show an example of neural networks.,Example,AI
How is neural networks used? Give an example.,Example,AI
I don't understand neural networks.,Doubt,AI
neural networks is confusing.,Doubt,AI
Please revise neural networks.,Revision,AI
Help me revise neural networks.,Revision,AI
What is supervised learning?,Explanation,AI
Explain supervised learning.,Explanation,AI
Can you explain supervised learning?,Explanation,AI
Give an example of supervised learning.,Example,AI
Show an example of supervised learning.,Example,AI
How is supervised learning used? Give an example.,Example,AI
I don't understand supervised learning.,Doubt,AI
supervised learning is confusing.,Doubt,AI
Please revise supervised learning.,Revision,AI
Help me revise supervised learning.,Revision,AI
What is unsupervised learning?,Explanation,AI
Explain unsupervised learning.,Explanation,AI
Can you explain unsupervised learning?,Explanation,AI
Give an example of unsupervised learning.,Example,AI
Show an example of unsupervised learning.,Example,AI
How is unsupervised learning used? Give an example.,Example,AI
I don't understand unsupervised learning.,Doubt,AI
unsupervised learning is confusing.,Doubt,AI
Please revise unsupervised learning.,Revision,AI
Help me revise unsupervised learning.,Revision,AI
What is NLP?,Explanation,AI
Explain NLP.,Explanation,AI
Can you explain NLP?,Explanation,AI
Give an example of NLP.,Example,AI
Show an example of NLP.,Example,AI
How is NLP used? Give an example.,Example,AI
I don't understand NLP.,Doubt,AI
NLP is confusing.,Doubt,AI
Please revise NLP.,Revision,AI
Help me revise NLP.,Revision,AI
What is computer vision?,Explanation,AI
Explain computer vision.,Explanation,AI
Can you explain computer vision?,Explanation,AI
Give an example of computer vision.,Example,AI
Show an example of computer vision.,Example,AI
How is computer vision used? Give an example.,Example,AI
I don't understand computer vision.,Doubt,AI
computer vision is confusing.,Doubt,AI
Please revise computer vision.,Revision,AI
Help me revise computer vision.,Revision,AI
What is overfitting?,Explanation,AI
Explain overfitting.,Explanation,AI
Can you explain overfitting?,Explanation,AI
Give an example of overfitting.,Example,AI
Show an example of overfitting.,Example,AI
How is overfitting used? Give an example.,Example,AI
I don't understand overfitting.,Doubt,AI
overfitting is confusing.,Doubt,AI
Please revise overfitting.,Revision,AI
Help me revise overfitting.,Revision,AI
What is underfitting?,Explanation,AI
Explain underfitting.,Explanation,AI
Can you explain underfitting?,Explanation,AI
Give an example of underfitting.,Example,AI
Show an example of underfitting.,Example,AI
How is underfitting used? Give an example.,Example,AI
I don't understand underfitting.,Doubt,AI
underfitting is confusing.,Doubt,AI
Please revise underfitting.,Revision,AI
Help me revise underfitting.,Revision,AI
What is feature engineering?,Explanation,AI
Explain feature engineering.,Explanation,AI
Can you explain feature engineering?,Explanation,AI
Give an example of feature engineering.,Example,AI
Show an example of feature engineering.,Example,AI
How is feature engineering used? Give an example.,Example,AI
I don't understand feature engineering.,Doubt,AI
feature engineering is confusing.,Doubt,AI
Please revise feature engineering.,Revision,AI
Help me revise feature engineering.,Revision,AI
What is classification?,Explanation,AI
Explain classification.,Explanation,AI
Can you explain classification?,Explanation,AI
Give an example of classification.,Example,AI
Show an example of classification.,Example,AI
How is classification used? Give an example.,Example,AI
I don't understand classification.,Doubt,AI
classification is confusing.,Doubt,AI
Please revise classification.,Revision,AI
Help me revise classification.,Revision,AI
What is regression?,Explanation,AI
Explain regression.,Explanation,AI
Can you explain regression?,Explanation,AI
Give an example of regression.,Example,AI
Show an example of regression.,Example,AI
How is regression used? Give an example.,Example,AI
I don't understand regression.,Doubt,AI
regression is confusing.,Doubt,AI
Please revise regression.,Revision,AI
Help me revise regression.,Revision,AI
What is clustering?,Explanation,AI
Explain clustering.,Explanation,AI
Can you explain clustering?,Explanation,AI
Give an example of clustering.,Example,AI
Show an example of clustering.,Example,AI
How is clustering used? Give an example.,Example,AI
I don't understand clustering.,Doubt,AI
clustering is confusing.,Doubt,AI
Please revise clustering.,Revision,AI
Help me revise clustering.,Revision,AI
What is SELECT?,Explanation,SQL
Explain SELECT.,Explanation,SQL
Can you explain SELECT?,Explanation,SQL
Give an example of SELECT.,Example,SQL
Show an example of SELECT.,Example,SQL
How is SELECT used? Give an example.,Example,SQL
I don't understand SELECT.,Doubt,SQL
SELECT is confusing.,Doubt,SQL
Please revise SELECT.,Revision,SQL
Help me revise SELECT.,Revision,SQL
What is WHERE?,Explanation,SQL
Explain WHERE.,Explanation,SQL
Can you explain WHERE?,Explanation,SQL
Give an example of WHERE.,Example,SQL
Show an example of WHERE.,Example,SQL
How is WHERE used? Give an example.,Example,SQL
I don't understand WHERE.,Doubt,SQL
WHERE is confusing.,Doubt,SQL
Please revise WHERE.,Revision,SQL
Help me revise WHERE.,Revision,SQL
What is GROUP BY?,Explanation,SQL
Explain GROUP BY.,Explanation,SQL
Can you explain GROUP BY?,Explanation,SQL
Give an example of GROUP BY.,Example,SQL
Show an example of GROUP BY.,Example,SQL
How is GROUP BY used? Give an example.,Example,SQL
I don't understand GROUP BY.,Doubt,SQL
GROUP BY is confusing.,Doubt,SQL
Please revise GROUP BY.,Revision,SQL
Help me revise GROUP BY.,Revision,SQL
What is HAVING?,Explanation,SQL
Explain HAVING.,Explanation,SQL
Can you explain HAVING?,Explanation,SQL
Give an example of HAVING.,Example,SQL
Show an example of HAVING.,Example,SQL
How is HAVING used? Give an example.,Example,SQL
I don't understand HAVING.,Doubt,SQL
HAVING is confusing.,Doubt,SQL
Please revise HAVING.,Revision,SQL
Help me revise HAVING.,Revision,SQL
What is ORDER BY?,Explanation,SQL
Explain ORDER BY.,Explanation,SQL
Can you explain ORDER BY?,Explanation,SQL
Give an example of ORDER BY.,Example,SQL
Show an example of ORDER BY.,Example,SQL
How is ORDER BY used? Give an example.,Example,SQL
I don't understand ORDER BY.,Doubt,SQL
ORDER BY is confusing.,Doubt,SQL
Please revise ORDER BY.,Revision,SQL
Help me revise ORDER BY.,Revision,SQL
What is INNER JOIN?,Explanation,SQL
Explain INNER JOIN.,Explanation,SQL
Can you explain INNER JOIN?,Explanation,SQL
Give an example of INNER JOIN.,Example,SQL
Show an example of INNER JOIN.,Example,SQL
How is INNER JOIN used? Give an example.,Example,SQL
I don't understand INNER JOIN.,Doubt,SQL
INNER JOIN is confusing.,Doubt,SQL
Please revise INNER JOIN.,Revision,SQL
Help me revise INNER JOIN.,Revision,SQL
What is LEFT JOIN?,Explanation,SQL
Explain LEFT JOIN.,Explanation,SQL
Can you explain LEFT JOIN?,Explanation,SQL
Give an example of LEFT JOIN.,Example,SQL
Show an example of LEFT JOIN.,Example,SQL
How is LEFT JOIN used? Give an example.,Example,SQL
I don't understand LEFT JOIN.,Doubt,SQL
LEFT JOIN is confusing.,Doubt,SQL
Please revise LEFT JOIN.,Revision,SQL
Help me revise LEFT JOIN.,Revision,SQL
What is RIGHT JOIN?,Explanation,SQL
Explain RIGHT JOIN.,Explanation,SQL
Can you explain RIGHT JOIN?,Explanation,SQL
Give an example of RIGHT JOIN.,Example,SQL
Show an example of RIGHT JOIN.,Example,SQL
How is RIGHT JOIN used? Give an example.,Example,SQL
I don't understand RIGHT JOIN.,Doubt,SQL
RIGHT JOIN is confusing.,Doubt,SQL
Please revise RIGHT JOIN.,Revision,SQL
Help me revise RIGHT JOIN.,Revision,SQL
What is UNION?,Explanation,SQL
Explain UNION.,Explanation,SQL
Can you explain UNION?,Explanation,SQL
Give an example of UNION.,Example,SQL
Show an example of UNION.,Example,SQL
How is UNION used? Give an example.,Example,SQL
I don't understand UNION.,Doubt,SQL
UNION is confusing.,Doubt,SQL
Please revise UNION.,Revision,SQL
Help me revise UNION.,Revision,SQL
What is subqueries?,Explanation,SQL
Explain subqueries.,Explanation,SQL
Can you explain subqueries?,Explanation,SQL
Give an example of subqueries.,Example,SQL
Show an example of subqueries.,Example,SQL
How is subqueries used? Give an example.,Example,SQL
I don't understand subqueries.,Doubt,SQL
subqueries is confusing.,Doubt,SQL
Please revise subqueries.,Revision,SQL
Help me revise subqueries.,Revision,SQL
What is aggregate functions?,Explanation,SQL
Explain aggregate functions.,Explanation,SQL
Can you explain aggregate functions?,Explanation,SQL
Give an example of aggregate functions.,Example,SQL
Show an example of aggregate functions.,Example,SQL
How is aggregate functions used? Give an example.,Example,SQL
I don't understand aggregate functions.,Doubt,SQL
aggregate functions is confusing.,Doubt,SQL
Please revise aggregate functions.,Revision,SQL
Help me revise aggregate functions.,Revision,SQL
What is indexes?,Explanation,SQL
Explain indexes.,Explanation,SQL
Can you explain indexes?,Explanation,SQL
Give an example of indexes.,Example,SQL
Show an example of indexes.,Example,SQL
How is indexes used? Give an example.,Example,SQL
I don't understand indexes.,Doubt,SQL
indexes is confusing.,Doubt,SQL
Please revise indexes.,Revision,SQL
Help me revise indexes.,Revision,SQL
What is views?,Explanation,SQL
Explain views.,Explanation,SQL
Can you explain views?,Explanation,SQL
Give an example of views.,Example,SQL
Show an example of views.,Example,SQL
How is views used? Give an example.,Example,SQL
I don't understand views.,Doubt,SQL
views is confusing.,Doubt,SQL
Please revise views.,Revision,SQL
Help me revise views.,Revision,SQL
